605890	-91	502	774
605902	-102	503	772
605915	-117	502	774
605929	-138	499	775
605942	-139	500	776
605955	-135	500	789
605968	-141	509	793
605981	-145	511	799
605994	-148	515	815
606007	-149	513	816
606020	-149	514	806
606033	-138	519	790
606046	-137	523	777
606060	-140	522	757
606073	-139	537	751
606086	-148	542	749
606099	-155	550	747
606112	-151	561	754
606125	-139	580	770
606138	-140	586	779
606151	-145	593	794
606164	-168	591	821
606177	-184	589	839
606191	-192	581	842
606204	-226	566	838
606216	-243	559	834
606229	-257	542	821
606242	-252	534	812
606255	-248	531	815
606269	-230	518	822
606282	-212	512	829
606295	-199	508	830
606308	-180	503	838
606321	-157	499	836
606334	-137	497	831
606347	-149	492	827
606360	-156	482	832
606373	-147	475	845
606386	-86	472	848
606399	-54	470	853
606413	25	468	852
606425	45	467	840
606438	92	457	809
606451	185	467	805
606464	188	464	802
606477	131	433	796
606490	122	430	759
606504	150	435	750
606517	117	476	750
606529	82	504	884
606542	30	556	1149
606556	11	663	1402
606568	-4	718	1547
606582	54	834	1855
606595	67	886	2133
606608	32	864	2201
606621	-133	787	2131
606635	-240	765	2003
606648	-512	648	1736
606661	-755	577	1454
606674	-896	514	1185
606687	-925	484	1093
606701	-925	481	909
606713	-928	465	849
606726	-934	437	717
606739	-919	419	577
606753	-910	398	497
606766	-856	343	311
606779	-791	308	86
606792	-775	281	-13
606805	-697	237	-171
606818	-627	229	-247
606831	-494	229	-365
606844	-426	188	-401
606857	-383	177	-405
606871	-297	164	-366
606884	-224	143	-290
606897	-189	121	-250
606910	-132	72	-163
606923	-88	21	-52
606936	-44	-15	22
606950	16	-34	75
606962	72	-48	96
606975	223	-29	143
606988	322	-5	228
607002	335	-3	273
607015	345	-26	354
607028	397	-34	419
607041	438	-27	468
607054	498	-35	590
607067	505	-36	639
607080	495	8	738
607093	505	-20	974
607106	551	-33	1113
607119	663	15	1303
607133	680	22	1331
607146	672	11	1313
607159	645	30	1335
607171	640	33	1388
607184	622	40	1562
607198	648	23	1801
607210	664	12	1934
607224	572	-15	2260
607237	376	-36	2642
607250	285	-40	2812
607263	133	-45	3043
607276	50	-60	3073
607289	-109	-64	2986
607302	-320	-77	2695
607315	-430	-80	2513
607328	-624	-81	2072
607341	-622	6	1602
607354	-594	35	1487
607368	-532	65	1303
607380	-483	68	1226
607393	-353	91	1073
607407	-279	93	931
607419	-271	87	865
607432	-265	63	723
607446	-229	60	557
607459	-201	66	478
607472	-154	87	323
607485	-127	92	167
607499	-103	115	92
607512	-55	158	-29
607524	-50	172	-85
607537	-50	185	-164
607551	-53	193	-208
607564	-50	193	-223
607577	-73	178	-241
607590	-117	131	-235
607603	-123	112	-221
607617	-148	92	-210
607629	-151	57	-245
607643	-111	54	-299
607657	63	95	-360
607670	211	49	-319
607684	238	16	-262
607697	214	-77	-57
607710	172	-122	116
607723	125	-145	227
607736	44	-158	419
607748	54	-149	509
607762	160	-91	773
607775	209	-83	933
607788	224	-94	997
607801	185	-116	1003
607814	129	-83	950
607828	95	-105	953
607841	64	-122	993
607853	53	-132	1048
607866	-41	-175	1106
607880	-230	-190	1120
607893	-305	-173	1146
607906	-466	-161	1225
607919	-710	-253	1544
607932	-754	-224	1683
607946	-841	-192	2110
607959	-904	-152	2499
607972	-936	-116	2588
607985	-1044	-59	2549
607997	-1093	-64	2464
608010	-1077	-156	2324
608024	-963	-248	2161
608037	-876	-312	2119
608050	-711	-459	2041
608062	-601	-517	2027
608075	-371	-613	2062
608088	-115	-696	2075
608101	13	-730	2074
608115	238	-740	2081
608128	448	-730	2055
608141	522	-679	1980
608154	592	-625	1819
608167	594	-557	1731
608180	496	-438	1464
608193	456	-368	1337
608206	427	-362	1276
608219	380	-340	1166
608232	353	-306	1038
608245	347	-284	968
608259	329	-264	783
608272	312	-231	566
608285	279	-213	458
608298	205	-188	272
608310	171	-173	188
608324	90	-155	70
608337	-4	-136	-15
608350	-57	-127	-52
608363	-154	-87	-135
608376	-215	-30	-256
608389	-248	-11	-302
608403	-341	38	-372
608415	-385	62	-371
608428	-465	101	-264
608441	-480	136	13
